ISVUsifra,jmbag
45688,1191224487
45688,1191228523
45688,1191226699
45688,1191235039
45688,1191244481
45688,1191230021
45688,1191241032
45689,1191226699
45689,1191241032
45689,1191244222
45689,1191234780
45689,1191224487
45689,1191236892
45689,1191230554
45691,1191230554
45691,1191225665
45691,1191234869
45691,1191234750
45691,1191241032
45691,1191226937
45691,1191234739
45693,1191234739
45693,1191228807
45693,1191236219
45693,1191225665
45693,1191232843
45693,1191235039
45694,1191228807
45694,1191235039
45694,1191235457
45694,1191234739
45694,1191242065
45694,1191244222
45695,1191235039
45695,1191244222
45695,1191237020
45695,1191228807
45695,1191240165
45695,1191234112
45696,1191236359
45696,1191225962
45696,1191234538
45696,1191237487
45696,1191236219
45700,1191236219
45700,1191224122
45700,1191234750
45700,1191232843
45700,1191235457
45702,1191244481
45702,1191242519
45702,1191240165
45704,1191226699
45704,1191224122
61518,1191228523
61518,1191237487
61518,1191227446
61518,1191227792
61518,1191234780
61519,1191225665
61519,1191242519
61519,1191234739
61519,1191238798
61519,1191236359
61519,1191230554
61519,1191237487
61519,1191228807
61520,1191238798
61520,1191227446
61520,1191235554
61520,1191234869
61520,1191236648
61520,1191230778
61522,1191234780
61522,1191232843
61522,1191230778
61522,1191230369
61522,1191234538
61526,1191235457
61526,1191244155
61526,1191236359
61526,1191242065
61526,1191237020
61527,1191226937
61527,1191232378
61527,1191237487
61528,1191237487
61528,1191227792
61528,1191232843
61529,1191242519
61529,1191230369
61529,1191242065
61531,1191224487
61531,1191244481
61531,1191225962
61532,1191230554
61532,1191236648
61533,1191225665
61533,1191232378
92949,1191241032
92949,1191234538
92949,1191230554
92949,1191234112
92949,1191226699
92949,1191235554
92949,1191225665
92950,1191244222
92950,1191234112
92950,1191235961
92950,1191235039
92950,1191225962
92950,1191234869
92951,1191234538
92951,1191242065
92951,1191228523
92951,1191235554
92951,1191234750
92953,1191237020
92953,1191236648
92953,1191236219
92953,1191240165
92953,1191235961
92954,1191241032
92954,1191244155
92956,1191234112
92956,1191234869
92956,1191230021
92956,1191244222
92956,1191224122
92956,1191238798
92957,1191234869
92957,1191238798
92957,1191236892
92957,1191234112
92957,1191244155
92957,1191227446
92958,1191230778
92958,1191226937
92958,1191238798
92958,1191232378
92958,1191228523
92978,1191242519
92978,1191227446
92978,1191244481
92978,1191234739
92978,1191227792
92978,1191237020
92978,1191224487
92979,1191244481
92979,1191230778
92979,1191224487
92979,1191228807
92979,1191242519
92979,1191235961
92979,1191226699
130302,1191227792
201266,1191230369
213172,1191234750
213172,1191240165
213172,1191234780
213172,1191226937
213172,1191236359
213176,1191235961
213176,1191232378
213176,1191235457
213176,1191225962
213176,1191230021
213177,1191230021
213177,1191224122
213177,1191236892
227986,1191235554
227986,1191236648
227986,1191226937
227988,1191236892
227988,1191244155
227988,1191235554
